original,std_col,created,reason,type,base_std,derived,grouping
"휴일 총 이동 거리 합계: 4분위수, 75%","휴일 총 이동 거리 합계: 4분위수, 75%_std",True,robust_month_std,std,,,
지하철 이용 미추정 인구수,지하철 이용 미추정 인구수_std,True,robust_month_std,std,,,
지하철이동일수 합계,지하철이동일수 합계_std,True,robust_month_std,std,,,
"지하철이동일수 합계: 4분위수, 25%","지하철이동일수 합계: 4분위수, 25%_std",True,robust_month_std,std,,,
"지하철이동일수 합계: 4분위수, 50%","지하철이동일수 합계: 4분위수, 50%_std",True,robust_month_std,std,,,
"지하철이동일수 합계: 4분위수, 75%","지하철이동일수 합계: 4분위수, 75%_std",True,robust_month_std,std,,,
게임 서비스 사용 미추정 인구수,게임 서비스 사용 미추정 인구수_std,True,robust_month_std,std,,,
게임 서비스 사용일수,게임 서비스 사용일수_std,True,robust_month_std,std,,,
"게임 서비스 사용일수: 4분위수, 25%","게임 서비스 사용일수: 4분위수, 25%_std",True,robust_month_std,std,,,
"게임 서비스 사용일수: 4분위수, 50%","게임 서비스 사용일수: 4분위수, 50%_std",True,robust_month_std,std,,,
"게임 서비스 사용일수: 4분위수, 75%","게임 서비스 사용일수: 4분위수, 75%_std",True,robust_month_std,std,,,
금융 서비스 사용 미추정 인구수,금융 서비스 사용 미추정 인구수_std,True,robust_month_std,std,,,
금융 서비스 사용일수,금융 서비스 사용일수_std,True,robust_month_std,std,,,
"금융 서비스 사용일수: 4분위수, 25%","금융 서비스 사용일수: 4분위수, 25%_std",True,robust_month_std,std,,,
"금융 서비스 사용일수: 4분위수, 50%","금융 서비스 사용일수: 4분위수, 50%_std",True,robust_month_std,std,,,
"금융 서비스 사용일수: 4분위수, 75%","금융 서비스 사용일수: 4분위수, 75%_std",True,robust_month_std,std,,,
쇼핑 서비스 사용 미추정 인구수,쇼핑 서비스 사용 미추정 인구수_std,True,robust_month_std,std,,,
쇼핑 서비스 사용일수,쇼핑 서비스 사용일수_std,True,robust_month_std,std,,,
"쇼핑 서비스 사용일수: 4분위수, 25%","쇼핑 서비스 사용일수: 4분위수, 25%_std",True,robust_month_std,std,,,
"쇼핑 서비스 사용일수: 4분위수, 50%","쇼핑 서비스 사용일수: 4분위수, 50%_std",True,robust_month_std,std,,,
"쇼핑 서비스 사용일수: 4분위수, 75%","쇼핑 서비스 사용일수: 4분위수, 75%_std",True,robust_month_std,std,,,
동영상/방송 서비스 사용 미추정 인구수,동영상/방송 서비스 사용 미추정 인구수_std,True,robust_month_std,std,,,
동영상/방송 서비스 사용일수,동영상/방송 서비스 사용일수_std,True,robust_month_std,std,,,
